1	10	10	10	268	208	208	208	208	208
2	15	10	10	316	326	334	324	328	332
3	20	10	10	462	428	444	436	450	438
4	25	10	10	442	452	456	452	462	466
5	30	10	10	510	536	516	530	506	510
6	35	10	10	646	684	654	658	668	670
7	40	10	10	642	678	682	670	682	712
8	45	10	10	890	872	872	870	866	858
9	50	10	10	910	852	846	836	836	842
10	55	10	10	1040	1028	1032	1058	1028	1062
11	60	10	10	978	942	930	948	936	944
12	65	10	10	1100	1150	1116	1108	1098	1110
13	70	10	10	1246	1200	1194	1192	1178	1212
14	75	10	10	1354	1334	1300	1366	1360	1312
15	80	10	10	1352	1418	1370	1384	1392	1412
16	85	10	10	1466	1364	1368	1348	1356	1354
17	90	10	10	1548	1492	1532	1506	1536	1478
18	95	10	10	1588	1590	1588	1600	1646	1638
19	100	10	10	1500	1352	1394	1354	1412	1384
20	105	10	10	1730	1682	1690	1700	1728	1686
